FIPS,STATE,ST_ABBR,COUNTY
1001,ALABAMA,AL,Autauga
1003,ALABAMA,AL,Baldwin
1005,ALABAMA,AL,Barbour
1007,ALABAMA,AL,Bibb
1009,ALABAMA,AL,Blount
1011,ALABAMA,AL,Bullock
1013,ALABAMA,AL,Butler
1015,ALABAMA,AL,Calhoun
1017,ALABAMA,AL,Chambers
1019,ALABAMA,AL,Cherokee
1021,ALABAMA,AL,Chilton
1023,ALABAMA,AL,Choctaw
1025,ALABAMA,AL,Clarke
1027,ALABAMA,AL,Clay
1029,ALABAMA,AL,Cleburne
1031,ALABAMA,AL,Coffee
1033,ALABAMA,AL,Colbert
1035,ALABAMA,AL,Conecuh
1037,ALABAMA,AL,Coosa
1039,ALABAMA,AL,Covington
1041,ALABAMA,AL,Crenshaw
1043,ALABAMA,AL,Cullman
1045,ALABAMA,AL,Dale
1047,ALABAMA,AL,Dallas
1049,ALABAMA,AL,DeKalb
1051,ALABAMA,AL,Elmore
1053,ALABAMA,AL,Escambia
1055,ALABAMA,AL,Etowah
1057,ALABAMA,AL,Fayette
1059,ALABAMA,AL,Franklin
1061,ALABAMA,AL,Geneva
1063,ALABAMA,AL,Greene
1065,ALABAMA,AL,Hale
1067,ALABAMA,AL,Henry
1069,ALABAMA,AL,Houston
1071,ALABAMA,AL,Jackson
1073,ALABAMA,AL,Jefferson
1075,ALABAMA,AL,Lamar
1077,ALABAMA,AL,Lauderdale
1079,ALABAMA,AL,Lawrence
1081,ALABAMA,AL,Lee
1083,ALABAMA,AL,Limestone
1085,ALABAMA,AL,Lowndes
1087,ALABAMA,AL,Macon
1089,ALABAMA,AL,Madison
1091,ALABAMA,AL,Marengo
1093,ALABAMA,AL,Marion
1095,ALABAMA,AL,Marshall
1097,ALABAMA,AL,Mobile
1099,ALABAMA,AL,Monroe
1101,ALABAMA,AL,Montgomery
1103,ALABAMA,AL,Morgan
1105,ALABAMA,AL,Perry
1107,ALABAMA,AL,Pickens
1109,ALABAMA,AL,Pike
1111,ALABAMA,AL,Randolph
1113,ALABAMA,AL,Russell
1115,ALABAMA,AL,St. Clair
1117,ALABAMA,AL,Shelby
1119,ALABAMA,AL,Sumter
1121,ALABAMA,AL,Talladega
1123,ALABAMA,AL,Tallapoosa
1125,ALABAMA,AL,Tuscaloosa
1127,ALABAMA,AL,Walker
1129,ALABAMA,AL,Washington
1131,ALABAMA,AL,Wilcox
1133,ALABAMA,AL,Winston
2013,ALASKA,AK,Aleutians East
2016,ALASKA,AK,Aleutians West
2020,ALASKA,AK,Anchorage
2050,ALASKA,AK,Bethel
2060,ALASKA,AK,Bristol Bay
2068,ALASKA,AK,Denali
2070,ALASKA,AK,Dillingham
2090,ALASKA,AK,Fairbanks North Star
2100,ALASKA,AK,Haines
2105,ALASKA,AK,Hoonah-Angoon
2110,ALASKA,AK,Juneau City and Borough
2122,ALASKA,AK,Kenai Peninsula
2130,ALASKA,AK,Ketchikan Gateway
2150,ALASKA,AK,Kodiak Island
2158,ALASKA,AK,Kusilvak
2164,ALASKA,AK,Lake and Peninsula
2170,ALASKA,AK,Matanuska-Susitna
2180,ALASKA,AK,Nome
2185,ALASKA,AK,North Slope
2188,ALASKA,AK,Northwest Arctic
2195,ALASKA,AK,Petersburg
2198,ALASKA,AK,Prince of Wales-Hyder
2220,ALASKA,AK,Sitka City and Borough
2230,ALASKA,AK,Skagway
2240,ALASKA,AK,Southeast Fairbanks
2261,ALASKA,AK,Valdez-Cordova
2275,ALASKA,AK,Wrangell City and Borough
2282,ALASKA,AK,Yakutat City and Borough
2290,ALASKA,AK,Yukon-Koyukuk
4001,ARIZONA,AZ,Apache
4003,ARIZONA,AZ,Cochise
4005,ARIZONA,AZ,Coconino
4007,ARIZONA,AZ,Gila
4009,ARIZONA,AZ,Graham
4011,ARIZONA,AZ,Greenlee
4012,ARIZONA,AZ,La Paz
4013,ARIZONA,AZ,Maricopa
4015,ARIZONA,AZ,Mohave
4017,ARIZONA,AZ,Navajo
4019,ARIZONA,AZ,Pima
4021,ARIZONA,AZ,Pinal
4023,ARIZONA,AZ,Santa Cruz
4025,ARIZONA,AZ,Yavapai
4027,ARIZONA,AZ,Yuma
5001,ARKANSAS,AR,Arkansas
5003,ARKANSAS,AR,Ashley
5005,ARKANSAS,AR,Baxter
5007,ARKANSAS,AR,Benton
5009,ARKANSAS,AR,Boone
5011,ARKANSAS,AR,Bradley
5013,ARKANSAS,AR,Calhoun
5015,ARKANSAS,AR,Carroll
5017,ARKANSAS,AR,Chicot
5019,ARKANSAS,AR,Clark
5021,ARKANSAS,AR,Clay
5023,ARKANSAS,AR,Cleburne
5025,ARKANSAS,AR,Cleveland
5027,ARKANSAS,AR,Columbia
5029,ARKANSAS,AR,Conway
5031,ARKANSAS,AR,Craighead
5033,ARKANSAS,AR,Crawford
5035,ARKANSAS,AR,Crittenden
5037,ARKANSAS,AR,Cross
5039,ARKANSAS,AR,Dallas
5041,ARKANSAS,AR,Desha
5043,ARKANSAS,AR,Drew
5045,ARKANSAS,AR,Faulkner
5047,ARKANSAS,AR,Franklin
5049,ARKANSAS,AR,Fulton
5051,ARKANSAS,AR,Garland
5053,ARKANSAS,AR,Grant
5055,ARKANSAS,AR,Greene
5057,ARKANSAS,AR,Hempstead
5059,ARKANSAS,AR,Hot Spring
5061,ARKANSAS,AR,Howard
5063,ARKANSAS,AR,Independence
5065,ARKANSAS,AR,Izard
5067,ARKANSAS,AR,Jackson
5069,ARKANSAS,AR,Jefferson
5071,ARKANSAS,AR,Johnson
5073,ARKANSAS,AR,Lafayette
5075,ARKANSAS,AR,Lawrence
5077,ARKANSAS,AR,Lee
5079,ARKANSAS,AR,Lincoln
5081,ARKANSAS,AR,Little River
5083,ARKANSAS,AR,Logan
5085,ARKANSAS,AR,Lonoke
5087,ARKANSAS,AR,Madison
5089,ARKANSAS,AR,Marion
5091,ARKANSAS,AR,Miller
5093,ARKANSAS,AR,Mississippi
5095,ARKANSAS,AR,Monroe
5097,ARKANSAS,AR,Montgomery
5099,ARKANSAS,AR,Nevada
5101,ARKANSAS,AR,Newton
5103,ARKANSAS,AR,Ouachita
5105,ARKANSAS,AR,Perry
5107,ARKANSAS,AR,Phillips
5109,ARKANSAS,AR,Pike
5111,ARKANSAS,AR,Poinsett
5113,ARKANSAS,AR,Polk
5115,ARKANSAS,AR,Pope
5117,ARKANSAS,AR,Prairie
5119,ARKANSAS,AR,Pulaski
5121,ARKANSAS,AR,Randolph
5123,ARKANSAS,AR,St. Francis
5125,ARKANSAS,AR,Saline
5127,ARKANSAS,AR,Scott
5129,ARKANSAS,AR,Searcy
5131,ARKANSAS,AR,Sebastian
5133,ARKANSAS,AR,Sevier
5135,ARKANSAS,AR,Sharp
5137,ARKANSAS,AR,Stone
5139,ARKANSAS,AR,Union
5141,ARKANSAS,AR,Van Buren
5143,ARKANSAS,AR,Washington
5145,ARKANSAS,AR,White
5147,ARKANSAS,AR,Woodruff
5149,ARKANSAS,AR,Yell
6001,CALIFORNIA,CA,Alameda
6003,CALIFORNIA,CA,Alpine
6005,CALIFORNIA,CA,Amador
6007,CALIFORNIA,CA,Butte
6009,CALIFORNIA,CA,Calaveras
6011,CALIFORNIA,CA,Colusa
6013,CALIFORNIA,CA,Contra Costa
6015,CALIFORNIA,CA,Del Norte
6017,CALIFORNIA,CA,El Dorado
6019,CALIFORNIA,CA,Fresno
6021,CALIFORNIA,CA,Glenn
6023,CALIFORNIA,CA,Humboldt
6025,CALIFORNIA,CA,Imperial
6027,CALIFORNIA,CA,Inyo
6029,CALIFORNIA,CA,Kern
6031,CALIFORNIA,CA,Kings
6033,CALIFORNIA,CA,Lake
6035,CALIFORNIA,CA,Lassen
6037,CALIFORNIA,CA,Los Angeles
6039,CALIFORNIA,CA,Madera
6041,CALIFORNIA,CA,Marin
6043,CALIFORNIA,CA,Mariposa
6045,CALIFORNIA,CA,Mendocino
6047,CALIFORNIA,CA,Merced
6049,CALIFORNIA,CA,Modoc
6051,CALIFORNIA,CA,Mono
6053,CALIFORNIA,CA,Monterey
6055,CALIFORNIA,CA,Napa
6057,CALIFORNIA,CA,Nevada
6059,CALIFORNIA,CA,Orange
6061,CALIFORNIA,CA,Placer
6063,CALIFORNIA,CA,Plumas
6065,CALIFORNIA,CA,Riverside
6067,CALIFORNIA,CA,Sacramento
6069,CALIFORNIA,CA,San Benito
6071,CALIFORNIA,CA,San Bernardino
6073,CALIFORNIA,CA,San Diego
6075,CALIFORNIA,CA,San Francisco
6077,CALIFORNIA,CA,San Joaquin
6079,CALIFORNIA,CA,San Luis Obispo
6081,CALIFORNIA,CA,San Mateo
6083,CALIFORNIA,CA,Santa Barbara
6085,CALIFORNIA,CA,Santa Clara
6087,CALIFORNIA,CA,Santa Cruz
6089,CALIFORNIA,CA,Shasta
6091,CALIFORNIA,CA,Sierra
6093,CALIFORNIA,CA,Siskiyou
6095,CALIFORNIA,CA,Solano
6097,CALIFORNIA,CA,Sonoma
